Produit,CodeBarre,Quantité,vegetarian_info,Pays_de_ventes,Caractéristiques
Coca-Cola - ,5449000000286,2l,NON,"Albanie, Algérie, Belgique, Bosnie-Herzégovine, Bulgarie, Croatie, République tchèque, France, Allemagne, Hongrie, Maurice, Maroc, Pologne, La Réunion, Roumanie, Russie, Serbie, Slovaquie, Suisse",
Pâte à tartiner Nutella noisettes et cacao - 750g - Ferrero - 750,3017620421006,750 g,NON,"Algérie, Belgique, France, Allemagne, Italie, Luxembourg, Mexique, Maroc, Espagne, Suisse",Pâte à tartiner aux noisettes
Hafer ohne Zucker - Alpro - ,5411188124689,1l,Végétarien,"Belgique, Finlande, France, Allemagne, Hongrie, Italie, Pays-Bas, Portugal, Espagne, Suisse, Royaume-Uni, en:Belgien, en:Deutschland, en:Frankreich, en:Italien, en:Schweiz, en:Vereinigtes-konigreich, Belgien, Deutschland, Frankreich, Schweiz",Oat milk
Biscottes Equilibre - Brioche Pasquier - 300,3182180012190,300 g,Végétarien,"France, La Réunion, Suisse",Biscottes
Brioche tranchée Bio - La Boulangère - 400,3284230006408,400 g,Non végétarien,France,Brioche tranchée Bio
"VITTEL eau minérale naturelle 1,5L - 1500 ",7613036249928,1500 ml,NON,"Belgique, France, Luxembourg",Eau minérale naturelle
Pain de mie Céréales & Graines - Harrys - 320,3228857001194,320 g,NON,France,"Pain de mie a la farine de blé, aux céréales et graines"
Brioche tranchée nature ss additifs - Harrys - 485,3228857001316,485 g,Non végétarien,France,Brioche tranchée recette classique
Biscuits goût chocolat - BN - ,3061990143365,10,Non végétarien,"Belgique, France, La Réunion, Suisse",
Pain AMS nature - Harrys - 550 g (14 tranche,3228857000838,550 g (14 tranches),NON,France,Pain de mie
Biscoff à tartiner - Lotus - 40,5410126006957,400g,NON,"Belgique, France, Luxembourg, Maroc, Pays-Bas, Suisse",Spéculoos à tartiner
zartbitter Schokolade 99% - Lindt - 50,3046920028721,50 g,Végétarien,"Australie, Autriche, Belgique, France, Allemagne, Italie, Liban, Maroc, Roumanie, Espagne, Suisse, Thaïlande",Chocolat noir extra fin traditionnel
Weetabix Minis Choco 60,5010029219241,600g,NON,"Autriche, Belgique, France, Liechtenstein, Pays-Bas, Espagne, Suisse, Royaume-Uni",
Pain EM nature sans sucres ajoutés - Harrys - 500,3228857000883,500 g,NON,"France, Suisse",Pain de mie
La Gâche Tranchée au Beurre Frais et à la Crème Fraîche - La Fournée Dorée - 500,3587220002252,500 g,Non végétarien,"France, Allemagne, Suisse",recategorisation du product_id 638259 | excatego:115 | exns:D/18
Penne Rigate - Barilla - 50,8076802085738,500g,Végétarien,"Australie, Autriche, Belgique, Bulgarie, France, Allemagne, Italie, Japon, Portugal, Roumanie, Espagne, Suisse",Pâtes alimentaires de qualité supérieure
Biscuits Kinder CereAlé chocolat noir 2x6 - 204g - 204,8000500329474,204 g,Non végétarien,"Autriche, France, Allemagne, Italie",Biscuits aux 7 variétés de céréales et pépites de chocolat noir
Brioche moins de sucre - Harrys - 485,3228857001378,485 g,Non végétarien,France,Brioche tranchée moins de sucres
Grilletine au froment sans sucres ajoutés - PasquierBrioche Pasquier - 255,3182180001477,255 g,Végétarien,France,Grilletine au froment sans sucres ajoutés
"Coca Cola gout original - 1,25",5449000267412,"1,25 L",NON,"France, Espagne, en:Alemania, en:Bélgica, en:Francia, en:Reino Unido",Boisson rafraîchissante aux extraits végétaux
Pain AMS 7 céréales - Harrys - 550,3228850000262,550 g,NON,"Belgique, France, Suisse",Pain de mie aux céréales
Alpro Mango (meer fruit) - 400,5411188125808,400 g,Végétarien,"Autriche, Belgique, Finlande, France, Allemagne, Luxembourg, Pays-Bas, Portugal, Espagne, Suisse","Produit fermenté au soja, mangue, aromatisé, avec calcium et vitamines ajoutés"
"Pepsi Max 1,5 L - Pepsi",3502110009357,"1,5 L",NON,"Belgique, France, Allemagne, Royaume-Uni",Boisson gazeuse rafraîchissante aux extraits végétaux avec édulcorants.
Pur sirop d'érable - Maple joe - 25,3088542500285,250g,NON,"Belgique, Croatie, Finlande, France, Italie, Maroc, Suisse",Pur sirop d'érable
Céréales Extra Pépites Chocolat Noisettes - Kellogg's - 500,3159470005071,500 g,Non végétarien,"Belgique, France, Italie, La Réunion, Espagne, en:Bélgica, en:Francia, en:Guadalupe, en:Luxemburgo, en:Martinica, en:Suiza",Pépites d'avoine croustillantes avec des morceaux de chocolat et de noisettes.
Levure Chimique Alsacienne - Alsa - 11,8712100724572,11 g,Végétarien,"France, en:Deutschland, en:Frankreich",Poudre à lever
Beurre doux gastronomique - President - 250,3155251205500,250 g,Non végétarien,"France, Allemagne, La Réunion, Suisse","Beurre pasteurisé doux, 82% mat. gr."
Paysan Breton - Le Fromage Fouetté Madame Loïk - Nature au Sel de Guérande - 180,3412290070101,180 g,Non végétarien,France,Fromage fouetté nature au sel de Guérande
"Knacki Végétale - Herta - 210 g, 6 saucisses 35",7613035937420,"210 g, 6 saucisses 35 g",Non végétarien,France,Spécialité végétarienne fumée
Original - Philadelphia - 17,7622300315733,175g,Non végétarien,"Autriche, République tchèque, France, Allemagne",Frischkäsezubereitung der Doppelrahmstufe
High Protein Chocolate Flavour Pudding - Milbona - 200,4056489216162,200 g,Non végétarien,"Bulgarie, Croatie, France, Allemagne, Grèce, Italie, Portugal, Roumanie, Espagne","Laktosefreier Schokoladenpudding, mit Süßungsmitteln"
Gnocchi à poêler - Lustucru - 320,3240931545042,320 g,Végétarien,France,Gnocchi à poêler
"Salade & Compagnie - Manhattan - pâtes, crudités, œuf, poulet rôti, carottes et fromage. - Sodebosalade & compagnie - 32",3242274000059,320g,Non végétarien,"France, en:Belgique, en:Suisse","Salade composée de pâtes, œuf, de salade, de poulet rôti traité en salaison, de crudités et de fromage avec une sauce vinaigrette au vinaigre balsamique."
Biscuit complet au germe de blé - GERBLE - 210,3251490320001,210 g,Non végétarien,"France, Guadeloupe, Maroc, La Réunion, Suisse","Biscuits complet au germe de blé, riches en fibres et en vitamine E, source de magnésium et de vitamines D, B1 et B9."
"Barre Chocolatée Kinder Country Céréales chocolat x9 - 211,5g - 9p",4008400260921,9pcs,Non végétarien,"Autriche, France, Allemagne, Italie, Suisse",KINDER COUNTRY : Barre céréalière enrobée de chocolat supérieur au lait
Pulpe fine de tomates - Mutti - 40,80042556,400g,Végétarien,"Australie, Autriche, Belgique, Canada, France, Allemagne, Italie, Pays-Bas, Norvège, Espagne, Suisse, Royaume-Uni, États-Unis",
Le Choco - Nestlé - 500,3033710065783,500 g,NON,"Belgique, France, Guadeloupe, Martinique, Nouvelle-Calédonie, La Réunion",Chocolat en poudre
"RICORE Original, Café & Chicorée, Boîte 260g - Nestlé - 260",7613035676497,260 g,Végétarien,"France, Allemagne, Suisse",Café chicorée solubles et fibres de chicorée
Spaghetti Integrale - Barilla - 500,8076809529419,500 g,Végétarien,"Autriche, Belgique, France, Allemagne, Espagne, Suisse, Belgien, Deutschland, Frankreich, Schweiz",Pâtes alimentaires de semoule complète de blé dur
