Produit,CodeBarre,Quantité,vegetarian_info,Pays_de_ventes,Caractéristiques
St hubert bio omega 3 230 g doux sans h,3366321052416,230 g,NON,France,Matière grasse allégée à tartiner et à cuire issue de l'agriculture biologique (56% de MG).
Tomaten gehakt - Freshona - 40,,400g,Végétarien,"Autriche, Bulgarie, France, Allemagne, Suisse, Royaume-Uni",Tomates pelées en morceaux
Pom'potes sans sucres ajoutés - Materne - 9,3021769505619,90g,Végétarien,"France, Suisse",
RICORÉ® aux céréales et à la chicorée solubles Boîte 250g - Nestlé - 250,3033710003228,250 g,Végétarien,France,Préparation pour boisson instantanée aux extraits de céréales et de chicorée torréfiées
PurSoup' Velouté de 10 légumes - liebig - 1,3036811363147,1 l,Non végétarien,"Belgique, France, Suisse",
Aiguillettes de Poulet - Rôties au Four - Fleury Michon - 150,3095751926010,150 g,Non végétarien,France,"Spécialité de volaille cuite, traitée en salaison"
Brioche tranchée - Brioche Pasquier - 450 g (environ 14 tranches de 32,3256540001756,450 g (environ 14 tranches de 32g),Non végétarien,"France, Suisse",Brioche tranchée
Granola crunchy - Carrefour - 33,5400101041424,330g,Non végétarien,"Belgique, France",céréales granola crunchy au miel
Skyr à l’islandaise framboise - Siggi's - 14,3023290032312,140g,Non végétarien,France,
Peanut butter Creamy - Skippy - 1p,0037600106009,1pcs,NON,"France, Allemagne",
Tourtel 27.5 cl Tourtel Twist Framboise 0.0 DEGRE ALCOOL - 275 ,3080216048543,275 ml,NON,"France, Suisse",Boisson sans alcool à base de bière au jus de framboise aromatisée framboise
Haricots Coco cuisinés aux tomates🍅 - Cassegrain - 435,3083681001808,435 g,NON,France,Haricots Coco
Paupiette de veau jardinière de légumes - Marie - 300 g,3166359678103,300 g e,Non végétarien,France,paupiette de veau et jus cuisiné aux oignons et vin blanc & jardinière de légumes
NESTLE DESSERT Cacao en Poudre boîte 250g - 250,7613031514274,250 g,NON,"France, Polynésie française, Guadeloupe, Italie, Martinique, La Réunion",Cacao en poudre
Barilla pates capellini n°1 500g - 500,8076800195019,500 g,Végétarien,"Belgique, Bulgarie, France, Allemagne, Italie, Japon, Luxembourg, Suède, Suisse, États-Unis",Pâtes alimentaires de qualité supérieure
Pâtes Torsade - Barilla - 50,8076809512268,500g,Végétarien,"Belgique, France, Allemagne, Luxembourg",Pâtes alimentaires au blé dur
Pesto Rustico Basilico & Zucchine - Barilla - 200,8076809576598,200 g,NON,"France, Allemagne, Italie, Suisse",
Plant Protein 50g chocolate - Alpro - ,5411188130055,1l,Végétarien,"Finlande, France, Allemagne, Portugal, Royaume-Uni, en:Deutschland",
Harrys pain de mie extra moelleux complet sans sucres ajoutés 280g - 280,3228857001507,280 g,NON,France,Pain de mie a la farine complète
GALAK Chocolat Blanc Tablette 100g - Nestlé - 100,3033710001057,100 g,NON,France,Chocolat blanc
Maïs sans sucres ajoutés - Bonduelle - 285,3083680025881,285 g,Végétarien,"France, Italie, Suisse, Francia",Maïs doux en grains sous vide
Lentilles préparées - Cassegrain - 200,3083680652094,200 g,Non végétarien,"France, Allemagne",Plat préparé en conserve
moelleux pépites de chocolat - Gerblé - 19,3175681135024,196g,Non végétarien,France,
Pâte à tartiner Curly cacahuète - Vico - 340 g,3336971502029,340 g e,Végétarien,"France, Suisse",Pâte à tartiner onctueuse à la cacahuète
FITNESS Nature Céréales Petit Déjeuner 625g - Nestlé - 625,3387390325911,625 g,NON,"Belgique, France, Italie, Portugal, Espagne","Pétales de blé complet, de riz et d'avoine complète enrichis en vitamines (B3, B5, B6, B2, B9), calcium et en fer"
Sirop d'agave - Carrefour Bio - 250 ,3560070740338,250 ml,Végétarien,France,
"Aquarel - Nestlé - 1,5",3700123300014,"1,5 l",Végétarien,"Andorre, Belgique, France, Hongrie, Luxembourg, Espagne",Agua mineral
Grana Padano AOP - Casa Azzurra - 100,3760056260069,100 g,Non végétarien,"Belgique, France, Italie, Espagne, es:Cantabria",
Flocons d'avoine - Quak,5000108478119,NON,Végétarien,"Côte d'Ivoire, France, Gabon, Italie, La Réunion",
M&M's Cacahuètes - Pack familial - Mars - 550,5000159492966,550 g,Non végétarien,France,Cacahuètes (24%) enrobées de chocolat au lait (48%) et dragéifiées
NESTLE CHOKELLA Céréales 350g​ - 350,5900020006226,350 g,Non végétarien,"France, Suisse","Céréales prêtes à consommer, saveur noisette et sources de 7 vitamines, calcium et fer"
Tablette Kinder Chocolat Chocolat au Lait x16 -200g - 200 g (16 barre,8000500110683,200 g (16 barres),Non végétarien,"France, Espagne",KINDER CHOCOLAT : Chocolat supérieur au lait avec fourrage au lait
Wholesome White Loaf - Schar -,8008698005576,8,Végétarien,"Belgique, France, Allemagne, Pays-Bas, Espagne, Suisse, Royaume-Uni",Pain sans gluten avec croute
Maestro vital - Schär - 35,8008698011065,350g,NON,"Belgique, France, Allemagne, Pays-Bas, Espagne, Suisse",pain au céréales sans gluten
Huile d'olive vierge extra - Primadona - 1,4056489141877,1 L,Végétarien,"Belgique, France, Suisse",
Pack Cassonade Saint Louis 650g - 650,3220035229000,650 g,Végétarien,France,Sucre roux de canne
Grilletine Sans sucres ajoutés Blé complet - Pasquier - 255,3182180002542,255 g,NON,France,
Sweet Chilli sauce - Vitasia - 700,20170196,700ml,Végétarien,"Belgique, Bulgarie, France, Allemagne, Russie, Espagne, Suisse",
Activia Saveur Citron - Danone - 4x12,3033491350795,4x125g,Non végétarien,"Belgique, France",
Citronnade - Pulco - 50 ,3124480167170,50 cl,NON,France,Boisson rafraîchissante aux fruits et à l'eau de source
Tartelettes - Bonne Maman - 135,3178530403022,135 g,Non végétarien,"Belgique, Bulgarie, France, Allemagne, Luxembourg",Tartelettes chocolat au lait caramel
Galettes riz sésame - Bjorg - 130,3229820167398,130 g,Végétarien,"Belgique, France, Luxembourg, Suisse",Galettes de riz complet au sésame
Galette Epeautre Son d'Avoine - Bjorg - 130,3229820780955,130 g,NON,"France, Guyane, Suisse",Galettes à base d'épeautre et de riz complets et d'avoine
Tofou Nature - Soy - 250,3259010101208,250 g,Végétarien,France,Spécialité végétale biologique à base de soja
Spaghetti au Quinoa Tomate - Jardin bio - 500,3478820043625,500 g,Non végétarien,"France, Allemagne",Spécialité céréalière à base de blé dur et quinoa aromatisée à la tomate bio.
Crêpes Natures sans sucre ajouté x8 - Dessaint - 400 g (8 crêpe,3505700006156,400 g (8 crêpes),Non végétarien,France,crêpes
Mozzarella - Carrefour - 220,3560070060252,220 g,NON,"Belgique, France, Italie, Mexique, Espagne","Mozzarella - Fromage à pâte filée au lait pasteurisé de vache, en saumure."
Mélange de fruits à coque - Seeberger - 15,4008258150092,150g,Végétarien,"Belgique, Croatie, France, Allemagne",
ALPRO SOJA CHOCO - ,5411188115458,1l,Végétarien,"Autriche, Belgique, Finlande, France, Allemagne, Italie, en:Belgio, en:Francia, en:Germania, en:Svizzera",
Knäckebrot Vollkorn - Wasa - 26,7300400114714,260g,Végétarien,"Autriche, France, Allemagne, Suisse",Knäckebrot
Pain grille - Lu - 455,7622210416728,455 g,NON,France,"Tranche de pain grillées, biscottes"
Maille Moutarde Fine De Dijon L'Originale Verrine 165g - 165,8712100872273,165 g,Végétarien,France,Moutarde de Dijon
Mentos fruit - Perfetti - 3,87108026,38g,Non végétarien,"France, Allemagne, Portugal, Espagne",Bonbons parfums fruits
Skyr vanille - Siggi's - 140,3023290032374,140 g,NON,France,
Californian walnuts - Alesto - 50,20816438,500g,Végétarien,"France, Allemagne, Espagne",
Müesli fruits rouge - Bon Et Bio - 500 g,26077345,500 g e,Non végétarien,France,Muesli cuit au four avec du chocolat au lait et de l'amarante - Muesli Fruits Rouges ou Muesli Chocolat & Amarante ou Muesli Fruits & Épeautre
Pulco Orange Citron à diluer - 70,3124480185266,70cl,NON,France,Spécialité à diluer pour boissons - Orange à Diluer
"Madeleines longues marbrées chocolat - Le Ster - 250 g (20 unités de 12,5 ",3252755250002,"250 g (20 unités de 12,5 g)",Non végétarien,"France, Suisse",Madeleines longues marbrées au chocolat - 20 Madeleines Longues Marbrées au Chocolat
Rocher - Ferrero - 20,4008400163826,200g,Non végétarien,"Danemark, France, Allemagne, Maroc, Suisse","Knusprige Nuss-Pralinen-Spezialität mit zarter Milchschokolade, feiner Haselnusscreme (40,5%) und ganzer Haselnuss"
Coca-Cola - 1.,5449000051981,1.5l,NON,"France, Pakistan, Portugal, Serbie",
NESTLE Lait Concentré Sucré Boîte 397g - 397,7613036443388,397 g,Non végétarien,"France, Guadeloupe",Lait concentré sucré
Chocolat extra noir de dégustation 86% noir intense - Côte d'Or - 100,7622400013935,100 g,Non végétarien,"France, Maroc, Portugal, La Réunion",Chocolat extra noir de dégustation
Kinder Surprise x4 oeufs - 80g - 80,8000500035184,80 g,Non végétarien,"France, Suisse",KINDER SURPRISE : Confiserie recouverte de chocolat supérieur au lait contenant une surprise dans une capsule plastique
Gocciole chocolate - Pavesi - 50,8013355999143,500g,Non végétarien,"Belgique, France, Allemagne, Italie, Suisse",
Nouille instantanées saveur crevettes - Yum Yum - 6,8852018101055,60g,Non végétarien,"France, Allemagne",Nouille instantanée à la farine de blé tendre aromatisée à la crevette
Essig - Aceto Balsamico di Modena - Acentino - 500,4056489238072,500ml,Végétarien,"France, Allemagne, en:France  Germany",
Bio muesli - Li,4056489238379,NON,NON,"France, Allemagne",
Confiture extra myrtilles - Maribel - 450 g,,450 g e,Végétarien,"Belgique, France, Allemagne",Confiture extra de myrtilles
Nudeln Bio-Organic Vollkorn-Spaghetti - Combino - 50,20995744,500g,Végétarien,"France, Allemagne",
Bonbon as la Sève de Pin - La Vosgienne - 125,3014680009175,125 g,NON,"Belgique, Brésil, Canada, France, Suisse",Confiseries
PRESIDENT BURGER CHEDDAR EMMENTAL 12 TRANCHES 200g - 0.2 ,3032220061100,0.2 kg,Non végétarien,France,Fromage fondu à l'emmental et au Cheddar pour hamburger
Panzani torti 500g - 500,3038350013606,500 g,Végétarien,France,Pâtes alimentaires de qualité supérieure
Pomme vanille - Andros - 750,3045320083453,750 g,Végétarien,"France, Polynésie française, Nouvelle-Calédonie, Suisse",Spécialité de pommes à la vanille
Petites St Jacques et torti - Weight Watchers - 300,3166352940092,300 g,Non végétarien,France,Petites St-Jacques et torti & crème safrané aux légumes
Amande Sans sucres ajoutés** - Carrefour Bio - 1,3560071014094,1 l,Végétarien,"Belgique, France, Italie, Pologne, Roumanie, Espagne","Boisson à l'amande issue de l'agriculture biologique, stérilisée UHT. **contient des sucres naturellement présents."
Beurre de cacahuètes Bio - Go Nuts - 500,3770008500037,500 g,Végétarien,France,Beurre de cacahuètes
Twix - 300 g (6 x 2 x 25g ,5000159461849,300 g (6 x 2 x 25g ℮),Non végétarien,"France, en:Ranska, en:Saksa, en:Suomi",
GARDEN GOURMET Les Bouchées Soja et Blé 175g - Herta - 175,7613036077569,175 g,Non végétarien,France,"Spécialité végétarienne à base de protéines de soja réhydratées, protéines de blé réhydratées et blanc d'œuf"
Diet Nature María sin azúcares - Gullón - 400,8410376010701,400 g,NON,"France, Mexique, Espagne",
Pate d'arachide - pcd - 50,8710411045058,500g,Végétarien,"France, Espagne, en:Francia",
Salsa de Soja - Kikkoman - 150,8715035130104,150ml,Végétarien,"France, Allemagne, Italie, Pays-Bas, Espagne, Suisse, Royaume-Uni",Sauce Soja
Crêpes chocolat - sondey - 25,20057602,256g,Non végétarien,"France, Allemagne",
Doo Wap pépites choco sans additif - Harrys - 320,3228857001132,320 g,Non végétarien,France,
LION caramel chocolat BIO - Nestlé - 400,7613037059281,400 g,Non végétarien,"Belgique, France","Céréales prêtes à consommer biologiques aromatisées, avec de la pâte de caramel (6,4%) et du chocolat (4,3%)"
BIO muesli chocolat - OneDayMore - 400,5902884463412,400 g,Non végétarien,France,
Brioche tranchée compl. ss additifs - Harrys - 485,3228857001330,485 g,Non végétarien,France,Brioche tranchée a la farine complète
Barre Moelleuse Chocolat Noir & Noisettes - Belvita - 160,7622210547194,160 g,Non végétarien,"Belgique, France, Portugal",Barres
Milk Chocolate - Fin Carré - 10,,100g,Non végétarien,"Bulgarie, France, Allemagne, Hongrie, Pologne, Roumanie, Slovénie, Espagne",Plaque de chocolat au lait Milk chocolate -
Lütticher Zuckerwaffeln - Belgix - 55,20061166,550g,NON,"France, Allemagne",Gaufres de Liège
Miel de fleurs crémeux - Maribel - 500,20276515,500 g,NON,"France, Italie, Suisse",Miel biologique
Farine de blé T45 - Francine - 1 ,3068110702235,1 kg,Végétarien,"Belgique, France",Farine de blé
NATÜRLICHES MINERALWASSER - Evian - 1.,3068320084602,1.5l,Végétarien,"France, Allemagne, Suisse, Royaume-Uni",
Sablés bio chocolat noir intense - Gerblé - 13,3175681060586,132g,NON,"France, Espagne, en:Bélgica, en:Francia, en:Suiza","Biscuits au chocolat, issus de l'agriculture biologique"
Pain 100% mie complet - Harrys - 650,3228850008138,650 g,NON,France,Pain de mie sans croûte a la farine complète
Pain de mie grandes tranches complet - Epi d'Or - 550,3564700596968,550 g,NON,France,Pain de mie complet
Xcrispy minis - Weetabix - Conad - 450,5010029204735,450 g,Végétarien,"Belgique, France, Allemagne, Pays-Bas, Espagne",Céréales de blé complet enrichies en vitamines et en fer avec du chocolat
Caro - Nestlé - 20,7613034831712,200g,Végétarien,"Belgique, France, Allemagne, Luxembourg, Suisse",
Noir 70% intense - Côte d'Or - 100,7622400006753,100 g,Non végétarien,"Belgique, France, Italie, Maroc, Portugal",Chocolat noir de dégustation
Mascarpone - Galbani - 250,8000430172010,250 g,Non végétarien,"Belgique, Danemark, Finlande, France, Allemagne, Italie, Pays-Bas, Portugal, Espagne, Suède, Royaume-Uni","Mascarpone, fromage pasteurisé"
Cruesli Frutos secos - Quaker - 375,8710100126402,375 g,NON,"France, Italie, Portugal, Espagne",
Flying Goose Brand Sriracha Scharfe Chilisauce - Exotic Food - 455,8853662056012,455ml,Végétarien,"Autriche, Belgique, France, Allemagne, Suisse",
DooWap pépites chocolait ss additif - Harrys - 480,3228857001163,480 g,Non végétarien,France,
Le Parmentier de Boeuf Charolais purée à la crème fraîche - Fleury Michon - 300,3302740030925,300 g,Non végétarien,France,Parmentier de bœuf
La Mayo de Dijon - Amora - 235,8710522921500,235 g,NON,France,Mayonnaise.
Organic Coconut & Rice Drink Unsweetened - Vemondo - 1,4056489244707,1 L,Végétarien,"Autriche, Belgique, France, Allemagne, Hongrie, Roumanie",Bio-Getränk auf Kokos- und Reisbasis. Ultrahocherhitzt.
Bjorg avoine sans sucre - 1,3229820801087,1 L,Végétarien,France,
Creamy peanut butter - Mcennedy - 45,4056489424925,454g,Végétarien,"France, Allemagne, Hongrie, Italie",
La Vache qui r,3073781158847,NON,Non végétarien,"France, Luxembourg",
Hummus classic with sesame - Chef Select - 200,20757809,200 g,Végétarien,"France, Allemagne, Italie, Espagne",
Petit écolier tendre coeur au lait - LU - 120,3017760002905,120 g,Non végétarien,France,Biscuit avec tablette de chocolat au lait fourrée au lait
Schtroumpfs pik 275g - Haribo - 275,3103220035771,275 g,NON,France,"confiserie gélifiée, acidulée"
Soja cuisine fluide - Bjorg - 250 ,3229820134642,250 ml,Végétarien,"France, Suisse",Crème de soja liquide
"NESTLE FITNESS Barres de Céréales Nature 6x23,5g - 141",3387390326284,141 g,NON,"Belgique, France, Portugal","Barre de céréales au blé complet et avoine complète, enrichie en 5 vitamines, calcium et fer"
NESTLE FITNESS Chocolat au lait céréales 375g - 375,3387390326468,375 g,Non végétarien,"Belgique, France, Allemagne, Italie, Luxembourg, Maroc, Portugal, La Réunion, Espagne, Suisse, Tunisie","Pétales de blé complet, de riz et d'avoine complète avec des pétales (36,25%) enrobés de chocolat au lait, enrichis en vitamines (B3, B5, B6, B2, B9), calcium, fer"
Spécial mie Complet - Carrefour - 500,3560070449675,500 g,NON,France,Pain de mie complet sans croûte tranché.
Petit pain grillé - Épi d'Or - 400,3564700582633,400 g,NON,France,Petits pains grillés au blé complet
Vegane Mühlen Schnitzel - Rügenwalder Mühle - 2 x 9,4000405005002,2 x 90g,Végétarien,"France, Allemagne, Suisse, Royaume-Uni",
Coca-Cola Original Taste - Coca-Cola company - 330 ,5000112545326,330 ml,NON,"Belgique, Danemark, France, Allemagne, Espagne, Suisse, Royaume-Uni",
Biscoff - Lotus - 250,5410126716016,250 g,NON,"Algérie, Arménie, République tchèque, France, Allemagne, Jersey, Espagne, Royaume-Uni",Biscuit Caramélisé Lotus - Biscoff
Pâte à pizza fine et rectangulaire - Herta - 390,7613035648463,390 g,NON,"France, Luxembourg",Pâte à pizza
GARDEN GOURMET Falafels Pois chiches 190g - 190,7613035982116,190 g,Végétarien,France,Spécialité végane à base de pois chiches réhydratés
Collezione Tagliatelles - Barilla - 500,8076809523714,500 g,Végétarien,"Autriche, France, Allemagne, Suisse",Pâtes alimentaires de qualité supérieure
Barilla sauce tomates provencale 400g - 400,8076809543934,400 g,Végétarien,"France, Italie",Sauce tomate aux fines herbes
Petites madeleines aux œufs saint Michel - St Michel - 400,3178530416701,400 g,Non végétarien,France,
Skyr myrtille 2 x 140 g - Siggi's - 280,3023290030585,280 g,NON,France,
Muesli Crunchy chocolat noir - Lidl - 500,4056489526872,500 g,Végétarien,France,
Sticks et Bretzels d'Alsace - Ancel - 137,3027030007622,137 g,NON,France,Biscuits salés
Benco - 800,3034470003114,800 g,NON,France,Préparation pour boisson instantanée de l'effort d'apport glucidique
Vittel 50cl - 500 ,3048431001958,500 ml,NON,"Belgique, France",Eau minérale naturelle
Volvic zest citron - 50,3057640385148,50cl,Végétarien,"France, Suisse",Boisson à l'eau minérale naturelle aux arômes naturels de fruits
Mini Brownie Chocolat - St Michel - 24,3178530411553,240g,Non végétarien,France,
Sojasun citron - 400 g (4 x 100 ,3273220083000,400 g (4 x 100 g),NON,"France, Suisse","Spécialité au soja fermentée, sucrée, aux fruits, enrichie en calcium"
Soja myrtille 4×100 g - Sojasun - 400,3273220083260,400 g,NON,"France, Polynésie française, Suisse","Spécialité au soja fermentée à la myrtille, aromatisée, enrichie en calcium."
Biscottes Blé complet - Carrefour - 300,3560070823291,300 g,Végétarien,"France, Italie, Maroc, Pologne, Roumanie",Biscottes à la farine complète.
Mais doux - Carrefour - 300,3560071006822,300 g,NON,France,Maïs doux en grains sous vide sans sucrés ajoutés.
Filets de tofu à la japonaise - Taifun - 160,4012359144003,160 g,Végétarien,"Belgique, France, Allemagne, Grèce, Pays-Bas, Espagne, Suisse",Spécialité de tofu à la poêle ou au barbecue
Pringles Original - 4,5053990107339,40g,Végétarien,"Belgique, France, Allemagne, Maroc, Roumanie, Espagne, Suisse",Snack salé
MONT BLANC Chocolat - 570,3700279306854,570 g,Non végétarien,France,Crème dessert au chocolat.
Zest Défense - innocent - 750 ,5038862134330,750 ml,NON,"France, Suisse",
Poulain intense 70% de cacao - 380,3664346326872,380 g,NON,France,Cacao fortement dégraissé en poudre sucré.
Crunchy Granola Oats - Nature Valley - 4,8410076801197,42g,Non végétarien,"Belgique, France, Allemagne, Espagne",
Minute maid - coca-cola company - 33,5449000257789,33cl,Végétarien,France,
Riz cuisiné Tomate et huile d'olive - Uncle Ben's - 25,3487400005526,250g,Non végétarien,France,
Tortillas à base de farine de blé - Grafschafter - 37,20119676,370g,Végétarien,"Bulgarie, France, Allemagne",Tortillas de blé
Cookies Pépites de chocolat - sondey - 200,20713614,200 g,Non végétarien,France,
Viennois - l'original - chocolat - Nestlé - 1.2 kg (12 x 100 ,3023290170076,1.2 kg (12 x 100 g),Non végétarien,France,Dessert lacté au chocolat
"KITKAT Ball, Billes au chocolat au Lait, 250g - Nestlé - 250",3033710019526,250 g,Non végétarien,France,"Bonbons de chocolat au lait (39,7%) : cœur aux céréales croustillantes (18,8%) enrobage crème confiseur (40,7%)"
"Indian tonic aux extraits d'écorces de quinquina - Schweppes - 1,5 L",3124480182746,"1,5 L e",NON,"Belgique, France, Suisse","Boisson gazeuse rafraîchissante à l'extrait d'écorces de quinquina, avec sucre et édulcorants"
Poulet au Curry et Noix de Coco - Weight Watchers - 300,3248832940539,300 g,Non végétarien,France,Poulet sauce au curry et riz aux éclats de légumes
Risotto au poulet & cèpes à la crème fraîche - Fleury Michon - 280,3302740606106,280 g,Non végétarien,France,Risotto au poulet traité en salaison et champignons
Stevia - Whole Earth - 60,3329757003735,60 g,NON,France,
St hubert bio 490 g doux sans huile de pal,3366321052355,490 g,NON,France,Matière grasse allégée à tartiner et à cuire issue de l'agriculture biologique (56% de MG)
Feta - Fromage - Carrefour - 200,3560070149278,200 g,Non végétarien,France,feta aop - fromage au lait pasteurisé de brebis et de chèvre.
Tortillas - Acapulco - 240,5412514932473,240 g,Végétarien,"France, Allemagne",Tortillas de farine de blé bio
"Coca-cola Zéro Sans caféine - 1,25",5449000223555,"1,25 L",NON,"France, Espagne",
NESTLE DESSERT Lait 170g - 170,7613035587793,170 g,Non végétarien,"Canada, France",Chocolat au Lait
NESQUIK Poudre Cacaotée boîte 500g - NestléNesquik - 500,7613036012249,500 g,NON,France,Préparation en poudre instantanée pour boisson cacaotée
GARDEN GOURMET Emincés Nature Soja 160g - Herta - 160,7613036278508,160 g,Végétarien,France,Spécialité végane à base de protéines de soja concentrées
Sauce napolitaine - Barilla - 40,8076809513692,400g,NON,"Australie, Autriche, Belgique, Bulgarie, République tchèque, France, Allemagne, Liban, Espagne, Suisse",Sauce tomate aux herbes aromatiques
MAGNUM Glace Bâtonnet Classic 4x110ml - Miko - 370,8712566328352,370 g,Non végétarien,"Autriche, Belgique, Canada, Danemark, France, Allemagne, Hongrie, Irlande, Italie, Pays-Bas, Suède, Suisse, Royaume-Uni",Glace vanille à l'arôme naturel de vanille de Madagascar enrobée de chocolat au lait (26%).
Soya classic - Vemondo - 500,4056489466581,500 g,Végétarien,"France, Allemagne, Italie, Espagne",
Galettes Bretonnes Pur Beurre - Sondey - 250 g (2 * 125 ,20093709,250 g (2 * 125 g),Non végétarien,France,Galettes Bretonnes pur beurre
Lait demi ecreme - Envia - 1,20681968,1 l,NON,France,
Boursin Ail & Fines Herbes - 250,3073781069259,250 g,Non végétarien,"Belgique, France",Fromage
Pitch Choco Barre - Chocolat au Lait - Brioche Pasquier - 310,3256540001312,310 g,Non végétarien,"France, Suisse",8 brioches barre chocolat au lait
À la brebis nature - Le Petit Basque - 4*100,3280241101002,4*100 g,Non végétarien,France,Spécialité laitière au lait de brebis
Mousse au chocolat à l'ancienne - Marie Morin - 200,3372900020059,200 g,Non végétarien,France,Mousse au chocolat - 2 Mousses au Chocolat à l'Ancienne
Bouillon cube légumes dégraissé - Jardin bio - 90,3760020505929,90 g,NON,France,Bouillon cube déshydraté aux légumes bio
Crème de coco - Suzi Wan - 200,4002359654688,200ml,Végétarien,"Belgique, France, Italie",crème de coco
Tranche au lait - Ferrero - 28,40084725,28 g,NON,"Finlande, France, Allemagne, Hongrie, Pologne, Russie, Suisse",
"Courmayeur - Eau minérale naturelle - 1,5",8024884500403,"1,5 L",Végétarien,"France, Guadeloupe, Martinique",Eau minérale naturelle
Digestive Muesli - Gullón - 365,8410376026979,365 g,NON,"France, Italie, Maroc, Portugal, Espagne, Tunisie",Galletas digestive con muesli
Cola Cao noir - 300,8410014464941,300 g,NON,"Andorre, France, Espagne",
Premium fish oil - Omega-3 - Ocean's Essentia,8718836393303,NON,Non végétarien,"Belgique, France, Maroc, Pays-Bas",
Crème dessert Saveur Vanille - Envia - 4 x 125,4056489109747,4 x 125 g,Non végétarien,France,
NESTLE DESSERT Noir Bio 170g - 170,7613038954226,170 g,Végétarien,France,Chocolat noir biologique
Leerdamer - Leerdammer - 16,3073781139440,160g,Non végétarien,"France, Allemagne",
Gnocchi a poeler roll 300g - Lustucru - 300,3240931546667,300 g,Végétarien,France,Gnocchi bâtonnets
HiPRO Vanille - Danone - 480,3033491694783,480 g,Non végétarien,France,
Granola au chocolat et framboises - OneDayMore - 45,5902884465959,450g,NON,France,
6 œufs frais BIO -  - 318g minim,20057251,318g minimum,NON,France,6 œufs frais de poules élevées en plein air
La Laitière crème aux oeufs - 400 g,3023290624265,400 g e,Non végétarien,France,Crème aux Œufs saveur Vanille
Excellence Extra Fondant Lait - Lindt - 10,3046920010283,100g,Non végétarien,France,Chocolat au lait extra fin traditionnel
"Purée délice - haricots verts, courgettes, épinards, pois, crème - 4 saveurs - Bonduelle - 780",3083681066838,780 g,Non végétarien,France,Purée de légumes cuisinée surgelée
Le Torchon - Cuit à l'Etouffée  - 25% de sel* - Fleury Michon - 120,3095758049019,120 g,Non végétarien,France,Jambon cuit au torchon de qualité supérieure
doritos sweet chilli pepper - 17,3168930009207,170g,NON,"Belgique, France",Tortilla chips de maïs goût piment doux
Coulommiers 21% - Président - 350,3228023170068,350 g,Non végétarien,France,Coulommiers Fromage à pâte molle au lait de vache pasteurisé
Pois wasabi - Tanoshi - 100,3229820181332,100 g,Végétarien,France,Crackers japonais
Madeleines extra moelleuses - Ker Cadélac - 600 g  (24 * 25 ,3259421340012,600 g  (24 * 25 g),Non végétarien,"France, Suisse",Madeleines nature - Madeleines Extra Moelleuses
Pur jus de citron - Jardin bio - 500 ,3456300002508,500 ml,Végétarien,France,Pur jus de citron bio
Meli mélo gourmand - Tipiak - 330 g ( 2 x 165 g,3600900005067,330 g ( 2 x 165 g ),NON,"France, Allemagne, Suisse",Méli-Mélo
Nippon - Hosta - 20,4021700900021,200g,Non végétarien,"France, Allemagne, Italie, Suisse",Riz soufflé et céréales dans une crème au chocolat recouverts de chocolat au lait
NESTLE LION Barres de Céréales 6x25g - 150,5900020030405,150 g,Non végétarien,France,"Barre de céréales au caramel (12,7%), au chocolat au lait, aromatisée et enrichie en 5 vitamines et calcium"
Dolce Gusto Nesquik - Nescafé - 256,7613033162220,256 g,Non végétarien,"France, Martinique, Espagne, Francia, Suiza",Boisson cacaotée et au lait
Double Cream - Mondelez - 15,7622210137258,157g,Végétarien,"Danemark, Finlande, France, Allemagne, en:Belgien, en:Frankrike, en:Nederländerna, en:Norge, en:Schweiz, en:Sverige, en:Tyskland","Biscuits cacaotés, fourrées goût vanille"
Tortilla chips - Old El Paso - 185,8410076481757,185 g,Végétarien,"France, Grèce, Espagne, en:Alemania, en:Francia, en:Suiza",Chips de Maïs saveur fajita
Amora Moutarde Douce Bocal 435g - 435,8722700139201,435 g,NON,France,Moutarde douce.
Coca-Cola Zero - 12p,90357473,12pcs,NON,"Belgique, France, Allemagne, Suisse",Boisson gazeuse light
Nectar Bio Orange sans pulpe - Joker - 1,3123349014495,1 L,Végétarien,"France, La Réunion",Nectar d'orange à base de jus concentré
Skyr nature - Paturages - 450,3250392712525,450 g,Non végétarien,"France, Suisse",
Tagada - Haribo - 220,3103220044544,220 g,Non végétarien,"France, en:Suisse",Confiserie gélifiée
Girasoli Tomate Mozzarella Basilic - Lustucru - 260,3240931545257,260 g,Non végétarien,France,"Pâte fraîche farcie à la tomate, mozzarella et basilic."
Bagels semillas - Bim,8412600018323,NON,NON,"France, Portugal, Espagne",
Pasta Sause Basil - Combino - 400,20037154,400ml,Végétarien,"Autriche, Finlande, France, Allemagne, Espagne, Suisse",
Coleslaw - Saladinettes - 50,20638757,500g,Non végétarien,France,
Napolitain l'Original - Lu - 6 x 30,3017760290692,6 x 30 g,Non végétarien,"Belgique, France, Luxembourg, Pays-Bas, États-Unis",Gâteau fourrage au chocolat - Napolitain Classic
Eau minérale naturelle - Vittel - 1,3179732333919,1 L,Végétarien,"Belgique, France",Eau Minérale Naturelle
Soja cuisine semi-épais bio - Bjorg - 250 ,3229820791845,250 ml,NON,France,"Aide culinaire biologique à base de soja, stérilisée UHT"
Pur jus de citron - Jardin bio - 250 ,3456300002492,250 ml,Végétarien,France,Pur jus de citron bio
